fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
CHI,BKN,-4.5,4.5,0.498,0.51,+101,-104,0,2026-02-09T19:35:00-05:00,BKN +4.5,2026-02-09T18:19:24.747+00:00
ORL,MIL,-10.5,10.5,0.511,0.495,-104,+102,1,2026-02-09T19:35:00-05:00,ORL -10.5,2026-02-09T18:20:08.241+00:00
OKC,LAL,-6.5,6.5,0.522,0.49,-109,+104,0,2026-02-09T22:05:00-05:00,LAL +6.5,2026-02-09T18:20:54.668+00:00
CLE,DEN,-1.5,1.5,0.481,0.531,+108,-113,0,2026-02-09T21:05:00-05:00,DEN +1.5,2026-02-09T18:16:08.862+00:00
MIN,ATL,-6.5,6.5,0.501,0.51,-100,-104,1,2026-02-09T20:05:00-05:00,MIN -6.5,2026-02-09T18:20:15.058+00:00
MIA,UTA,-7.5,7.5,0.509,0.51,-104,-104,1,2026-02-09T19:35:00-05:00,MIA -7.5,2026-02-09T18:20:49.591+00:00
GSW,MEM,-9.5,9.5,0.491,0.52,+104,-108,0,2026-02-09T22:05:00-05:00,GSW -9.5,2026-02-09T18:16:41.204+00:00
PHI,POR,-3.5,3.5,0.49,0.52,+104,-108,0,2026-02-09T22:05:00-05:00,POR +3.5,2026-02-09T18:19:43.604+00:00
DET,CHA,-2.5,2.5,0.511,0.501,-104,-100,0,2026-02-09T19:05:00-05:00,CHA +2.5,2026-02-09T18:20:37.894+00:00
NOP,SAC,-7.5,7.5,0.528,0.491,-112,+104,0,2026-02-09T20:05:00-05:00,NOP -7.5,2026-02-09T18:15:51.563+00:00
