fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
ORL,BOS,-3.5,3.5,0.525,0.491,-111,+104,1,2025-11-09T18:05:00-05:00,ORL -3.5,2025-11-09T17:26:29.235+00:00
GSW,IND,-12.5,12.5,0.507,0.498,-103,+101,0,2025-11-09T20:35:00-05:00,GSW -12.5,2025-11-09T17:35:40.307+00:00
MIN,SAC,-5.5,5.5,0.491,0.512,+104,-105,0,2025-11-09T21:05:00-05:00,SAC +5.5,2025-11-09T17:35:41.311+00:00
DET,PHI,-4.5,4.5,0.492,0.521,+103,-109,0,2025-11-09T19:35:00-05:00,PHI +4.5,2025-11-09T17:31:29.875+00:00
OKC,MEM,-10.5,10.5,0.51,0.497,-104,+101,0,2025-11-09T18:05:00-05:00,MEM +10.5,2025-11-09T17:30:48.834+00:00
HOU,MIL,-4.5,4.5,0.494,0.515,+102,-106,0,2025-11-09T15:35:00-05:00,MIL +4.5,2025-11-09T17:32:03.472+00:00
NYK,BKN,-15.5,15.5,0.512,0.504,-105,-102,0,2025-11-09T18:05:00-05:00,NYK -15.5,2025-11-09T17:25:53.904+00:00
