fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
ORL,CHI,-6.5,6.5,0.472,0.544,+112,-119,1,2025-10-25T19:05:00-04:00,ORL -6.5,2025-10-25T16:49:19.563+00:00
OKC,ATL,-6.5,6.5,0.498,0.52,+101,-108,0,2025-10-25T19:35:00-04:00,ATL +6.5,2025-10-25T16:51:46.613+00:00
MEM,IND,-1.5,1.5,0.488,0.531,+105,-113,1,2025-10-25T20:05:00-04:00,MEM -1.5,2025-10-25T16:47:27.361+00:00
DEN,PHX,-13.5,13.5,0.485,0.531,+106,-113,1,2025-10-25T21:05:00-04:00,DEN -13.5,2025-10-25T16:48:08.238+00:00
PHI,CHA,-4.5,4.5,0.515,0.494,-106,+102,1,2025-10-25T19:35:00-04:00,PHI -4.5,2025-10-25T16:49:46.131+00:00
